Code,MCC Group1,Group Description1
3764,MCCG3,Hotels
3765,MCCG3,Hotels
3766,MCCG3,Hotels
3767,MCCG3,Hotels
3768,MCCG3,Hotels
3769,MCCG3,Hotels
3770,MCCG3,Hotels
3771,MCCG3,Hotels
3772,MCCG3,Hotels
3773,MCCG3,Hotels
3774,MCCG3,Hotels
3775,MCCG3,Hotels
3776,MCCG3,Hotels
3777,MCCG3,Hotels
3778,MCCG3,Hotels
3779,MCCG3,Hotels
3780,MCCG3,Hotels
3781,MCCG3,Hotels
3782,MCCG3,Hotels
3783,MCCG3,Hotels
3784,MCCG3,Hotels
3785,MCCG3,Hotels
3786,MCCG3,Hotels
3787,MCCG3,Hotels
3788,MCCG3,Hotels
3789,MCCG3,Hotels
3790,MCCG3,Hotels
3791,MCCG3,Hotels
3792,MCCG3,Hotels
3793,MCCG3,Hotels
3794,MCCG3,Hotels
3795,MCCG3,Hotels
3796,MCCG3,Hotels
3797,MCCG3,Hotels
3798,MCCG3,Hotels
3799,MCCG3,Hotels
3800,MCCG3,Hotels
3801,MCCG3,Hotels
3802,MCCG3,Hotels
3803,MCCG3,Hotels
3804,MCCG3,Hotels
3805,MCCG3,Hotels
3806,MCCG3,Hotels
3807,MCCG3,Hotels
3808,MCCG3,Hotels
3809,MCCG3,Hotels
3810,MCCG3,Hotels
3811,MCCG3,Hotels
3812,MCCG3,Hotels
3813,MCCG3,Hotels
3814,MCCG3,Hotels
3815,MCCG3,Hotels
3816,MCCG3,Hotels
3817,MCCG3,Hotels
3818,MCCG3,Hotels
3819,MCCG3,Hotels
3820,MCCG3,Hotels
3821,MCCG3,Hotels
3822,MCCG3,Hotels
3823,MCCG3,Hotels
3824,MCCG3,Hotels
3825,MCCG3,Hotels
3826,MCCG3,Hotels
3827,MCCG3,Hotels
3828,MCCG3,Hotels
3829,MCCG3,Hotels
3830,MCCG3,Hotels
3831,MCCG3,Hotels
3832,MCCG3,Hotels
3833,MCCG3,Hotels
3834,MCCG3,Hotels
3835,MCCG3,Hotels
3836,MCCG3,Hotels
3837,MCCG3,Hotels
3838,MCCG3,Hotels
3839,MCCG3,Hotels
3840,MCCG3,Hotels
3841,MCCG3,Hotels
3842,MCCG3,Hotels
3843,MCCG3,Hotels
3844,MCCG3,Hotels
3845,MCCG3,Hotels
3846,MCCG3,Hotels
3847,MCCG3,Hotels
3848,MCCG3,Hotels
3849,MCCG3,Hotels
3850,MCCG3,Hotels
3851,MCCG3,Hotels
3852,MCCG3,Hotels
3853,MCCG3,Hotels
3854,MCCG3,Hotels
3855,MCCG3,Hotels
3856,MCCG3,Hotels
3857,MCCG3,Hotels
3858,MCCG3,Hotels
3859,MCCG3,Hotels
3860,MCCG3,Hotels
3861,MCCG3,Hotels
3862,MCCG3,Hotels
3863,MCCG3,Hotels
3864,MCCG3,Hotels
3865,MCCG3,Hotels
3866,MCCG3,Hotels
3867,MCCG3,Hotels
3868,MCCG3,Hotels
3869,MCCG3,Hotels
3870,MCCG3,Hotels
3871,MCCG3,Hotels
3872,MCCG3,Hotels
3873,MCCG3,Hotels
3874,MCCG3,Hotels
3875,MCCG3,Hotels
3876,MCCG3,Hotels
3877,MCCG3,Hotels
3878,MCCG3,Hotels
3879,MCCG3,Hotels
3880,MCCG3,Hotels
3881,MCCG3,Hotels
3882,MCCG3,Hotels
3883,MCCG3,Hotels
3884,MCCG3,Hotels
3885,MCCG3,Hotels
3886,MCCG3,Hotels
3887,MCCG3,Hotels
3888,MCCG3,Hotels
3889,MCCG3,Hotels
3890,MCCG3,Hotels
3891,MCCG3,Hotels
3892,MCCG3,Hotels
3893,MCCG3,Hotels
3894,MCCG3,Hotels
3895,MCCG3,Hotels
3896,MCCG3,Hotels
3897,MCCG3,Hotels
3898,MCCG3,Hotels
3899,MCCG3,Hotels
3900,MCCG3,Hotels
3901,MCCG3,Hotels
3902,MCCG3,Hotels
3903,MCCG3,Hotels
3904,MCCG3,Hotels
3905,MCCG3,Hotels
3906,MCCG3,Hotels
3907,MCCG3,Hotels
3908,MCCG3,Hotels
3909,MCCG3,Hotels
3910,MCCG3,Hotels
3911,MCCG3,Hotels
3912,MCCG3,Hotels
3913,MCCG3,Hotels
3914,MCCG3,Hotels
3915,MCCG3,Hotels
3916,MCCG3,Hotels
3917,MCCG3,Hotels
3918,MCCG3,Hotels
3919,MCCG3,Hotels
3920,MCCG3,Hotels
3921,MCCG3,Hotels
3922,MCCG3,Hotels
3923,MCCG3,Hotels
3924,MCCG3,Hotels
3925,MCCG3,Hotels
3926,MCCG3,Hotels
3927,MCCG3,Hotels
3928,MCCG3,Hotels
3929,MCCG3,Hotels
3930,MCCG3,Hotels
3931,MCCG3,Hotels
3932,MCCG3,Hotels
3933,MCCG3,Hotels
3934,MCCG3,Hotels
3935,MCCG3,Hotels
3936,MCCG3,Hotels
3937,MCCG3,Hotels
3938,MCCG3,Hotels
3939,MCCG3,Hotels
3940,MCCG3,Hotels
3941,MCCG3,Hotels
3942,MCCG3,Hotels
3943,MCCG3,Hotels
3944,MCCG3,Hotels
3945,MCCG3,Hotels
3946,MCCG3,Hotels
3947,MCCG3,Hotels
3948,MCCG3,Hotels
3949,MCCG3,Hotels
3950,MCCG3,Hotels
3951,MCCG3,Hotels
3952,MCCG3,Hotels
3953,MCCG3,Hotels
3954,MCCG3,Hotels
3955,MCCG3,Hotels
3956,MCCG3,Hotels
3957,MCCG3,Hotels
3958,MCCG3,Hotels
3959,MCCG3,Hotels
3960,MCCG3,Hotels
3961,MCCG3,Hotels
3962,MCCG3,Hotels
3963,MCCG3,Hotels
